workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,open_us_median,deliver_us_median,e2e_median,e2e_warm_median,cold_pct_max
A,orig,2e_K10,async,5,128,362.25,398.80,330.06,27.16,100.0,238.36,140.26,98.14,604.32,462.28,0.0
A,orig,2e_K10,pread,2,128,180.85,,172.02,8.83,100.0,2645.01,139.10,2505.89,2825.85,2686.74,0.0
A,orig,2e_K500,async,5,128,182.72,319.43,180.77,68.38,100.0,977.14,140.16,837.61,1178.18,1038.06,0.0
A,orig,2e_K500,pread,2,128,183.61,,183.50,0.11,100.0,21741.64,144.76,21596.88,21925.25,21780.49,0.0
A,orig,2f_slru,async,5,128,490.23,498.02,432.12,24.41,77.4,7283.52,138.48,7143.32,7772.20,7632.00,0.0
A,orig,2f_slru,pread,2,128,488.39,,487.66,0.73,76.1,19244.13,142.49,19101.64,19732.52,19590.03,0.0
A,orig,baseline,baseline,3,128,503.49,,494.49,8.53,0.0,0.00,0.00,0.00,503.49,503.49,0.0
B,orig,2e_K10,async,5,128,410.82,421.99,405.33,6.64,100.0,236.26,140.37,96.20,648.73,508.36,0.0
B,orig,2e_K10,pread,2,128,403.05,,398.73,4.31,100.0,2820.61,140.66,2679.95,3223.66,3083.00,0.0
B,orig,2e_K500,async,5,128,453.28,454.05,450.29,1.44,100.0,981.34,139.71,842.14,1435.49,1296.29,0.0
B,orig,2e_K500,pread,2,128,438.71,,422.92,15.78,100.0,19516.75,140.24,19376.51,19955.46,19815.22,0.0
B,orig,2f_slru,async,5,128,740.79,749.72,725.49,8.81,77.9,7292.63,139.45,7152.45,8033.42,7893.24,0.0
B,orig,2f_slru,pread,2,128,715.97,,710.67,5.31,76.4,18560.29,139.41,18420.88,19276.26,19136.85,0.0
B,orig,baseline,baseline,3,128,735.04,,714.54,10.10,0.0,0.00,0.00,0.00,735.04,735.04,0.0
