workload,strategy,first_q_us_median,first_q_us_min,first_q_us_max,avg_q_us,total_ms,prefetch_us,n_prefetch
A,baseline,218.56,214.09,218.79,3.56,356.28,0.00,0
A,slru,15.07,15.02,16.69,2.36,236.02,6711.69,3369
B,baseline,229.94,215.89,234.04,3.56,355.75,0.00,0
B,slru,14.34,13.80,20.21,2.39,239.03,6302.51,3373
C,baseline,212.10,211.94,219.15,2.44,244.27,0.00,0
C,slru,13.54,13.51,18.77,2.28,227.97,1910.52,394
