workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,open_us_median,deliver_us_median,e2e_median,e2e_warm_median,cold_pct_max
A,1gb,2d,async,10,128,289.59,3394.57,285.15,1554.03,100.0,219.06,130.08,87.92,510.12,378.75,0.0
A,1gb,2d,pread,5,128,150.53,152.72,149.08,1.37,100.0,1367.86,129.87,1238.43,1520.89,1389.93,0.0
A,1gb,2e_K10,async,10,128,289.50,292.65,286.61,2.13,100.0,231.67,130.74,99.98,521.38,389.64,0.0
A,1gb,2e_K10,pread,5,128,149.57,152.06,148.50,1.35,100.0,1864.63,130.31,1734.43,2013.13,1884.18,0.0
A,1gb,2e_K500,async,10,128,151.74,495.36,148.63,187.37,100.0,890.72,139.96,750.02,1050.49,908.53,0.0
A,1gb,2e_K500,pread,5,128,149.77,150.63,148.12,1.05,100.0,10557.40,140.93,10418.80,10708.15,10569.55,0.0
A,1gb,2f_slru,async,10,128,98.19,101.39,96.15,1.81,100.0,7117.92,140.81,6976.11,7215.60,7073.79,0.0
A,1gb,2f_slru,pread,5,128,97.56,99.72,96.79,1.22,100.0,8250.40,139.92,8113.23,8347.54,8210.37,0.0
A,1gb,baseline,baseline,10,128,542.60,557.89,531.84,9.52,0.0,0.00,0.00,0.00,542.60,542.60,0.0
A,1gb,layers_5,async,10,128,460.94,466.89,450.22,4.70,100.0,243.70,173.89,69.53,706.60,530.85,0.0
A,1gb,layers_5,pread,5,128,316.16,318.55,305.45,5.31,100.0,511.54,172.46,338.87,827.70,655.24,0.0
A,1gb,layers_92,async,10,128,453.76,460.06,446.03,4.33,100.0,334.01,129.72,205.49,789.30,660.10,0.0
A,1gb,layers_92,pread,5,128,317.47,318.63,307.63,4.20,100.0,5177.46,130.49,5047.63,5494.93,5365.10,0.0
B,1gb,2d,async,10,128,315.78,328.54,309.27,5.90,100.0,231.01,140.80,89.86,546.47,405.50,0.0
B,1gb,2d,pread,5,128,317.20,324.89,314.89,4.23,100.0,1387.44,139.36,1247.80,1706.04,1566.40,0.0
B,1gb,2e_K10,async,10,128,315.38,321.12,311.05,2.94,100.0,242.16,139.96,102.19,558.39,418.39,0.0
B,1gb,2e_K10,pread,5,128,315.99,320.59,314.55,2.40,100.0,1923.52,141.32,1782.21,2238.07,2096.76,0.0
B,1gb,2e_K500,async,10,128,389.24,650.03,310.13,146.07,100.0,878.77,140.75,739.16,1281.56,1141.24,0.0
B,1gb,2e_K500,pread,5,128,417.34,419.34,295.09,49.19,100.0,9037.70,140.14,8897.13,9457.36,9316.79,0.0
B,1gb,2f_slru,async,10,128,100.63,238.11,98.28,57.11,100.0,7198.15,140.51,7057.24,7300.09,7159.18,0.0
B,1gb,2f_slru,pread,5,128,98.33,99.69,97.56,0.91,100.0,8320.30,142.31,8178.00,8417.86,8275.56,0.0
B,1gb,baseline,baseline,10,128,718.93,722.34,707.69,4.18,0.0,0.00,0.00,0.00,718.93,718.93,0.0
B,1gb,layers_5,async,10,128,484.33,493.70,476.42,5.67,100.0,209.03,139.89,69.13,692.52,553.06,0.0
B,1gb,layers_5,pread,5,128,485.16,493.86,478.33,5.63,100.0,482.88,141.10,340.44,968.28,825.01,0.0
B,1gb,layers_92,async,10,128,485.32,492.01,478.53,4.60,100.0,345.90,139.80,206.39,832.43,692.81,0.0
B,1gb,layers_92,pread,5,128,488.07,490.69,477.50,5.86,100.0,5228.77,141.90,5085.88,5711.45,5569.56,0.0
C,1gb,2d,async,10,128,313.46,532.99,300.35,118.30,100.0,214.00,140.18,73.46,528.66,387.57,0.0
C,1gb,2d,pread,5,128,311.38,319.77,301.76,6.26,100.0,691.75,140.18,551.99,1005.11,864.07,0.0
C,1gb,2e_K10,async,10,128,144.95,151.19,143.49,2.81,100.0,224.55,139.55,84.98,368.06,230.22,0.0
C,1gb,2e_K10,pread,5,128,145.48,151.38,142.98,3.25,100.0,1235.52,140.14,1095.63,1381.98,1241.84,0.0
C,1gb,2e_K500,async,10,128,147.88,152.32,140.44,3.33,100.0,1000.33,138.51,861.90,1146.12,1006.19,0.0
C,1gb,2e_K500,pread,5,128,146.41,150.27,141.50,3.05,100.0,2512.27,139.90,2372.24,2663.31,2523.28,0.0
C,1gb,2f_slru,async,10,128,94.75,102.74,91.92,3.98,100.0,1825.30,138.79,1686.30,1921.85,1785.59,0.0
C,1gb,2f_slru,pread,5,128,92.95,97.79,90.26,2.92,100.0,3044.67,140.49,2901.23,3137.62,2994.18,0.0
C,1gb,baseline,baseline,10,128,722.65,734.37,709.41,8.83,0.0,0.00,0.00,0.00,722.65,722.65,0.0
C,1gb,layers_5,async,10,128,642.51,655.99,632.11,8.45,100.0,208.96,140.20,68.45,852.09,710.91,0.0
C,1gb,layers_5,pread,5,128,639.97,645.76,631.80,5.64,100.0,481.06,139.86,340.52,1121.03,980.49,0.0
C,1gb,layers_92,async,10,128,481.33,486.83,459.60,8.37,100.0,348.05,139.74,208.47,824.97,685.60,0.0
C,1gb,layers_92,pread,5,128,481.42,482.26,472.72,3.58,100.0,5218.48,138.71,5079.77,5700.48,5561.77,0.0
