tool,db_layout,workload,strategy,N_or_K,n_reps,prefetch_time_us_med,prefetch_time_us_min,prefetch_time_us_max,n_prefetch,n_syscalls
prefetch_layers,orig,ALL,layers_24,24,3,4.34,4.01,4.85,24,24
prefetch_layers,orig,ALL,layers_25,25,3,4.88,4.23,5.13,25,25
prefetch_layers,orig,ALL,layers_26,26,3,5.03,4.94,5.58,26,26
prefetch_layers,orig,ALL,layers_27,27,3,4.89,4.83,4.94,27,27
prefetch_layers,orig,ALL,layers_28,28,3,5.13,4.91,5.28,28,28
prefetch_layers,orig,ALL,layers_29,29,3,5.30,5.01,5.35,29,29
prefetch_layers,orig,ALL,layers_3,3,3,1.62,1.51,1.85,3,3
prefetch_layers,orig,ALL,layers_30,30,3,5.20,5.14,5.51,30,30
prefetch_layers,orig,ALL,layers_31,31,3,5.52,5.45,5.97,31,31
prefetch_layers,orig,ALL,layers_32,32,3,5.82,5.54,6.23,32,32
prefetch_layers,orig,ALL,layers_33,33,3,5.83,5.62,6.27,33,33
prefetch_layers,orig,ALL,layers_34,34,3,6.23,6.05,6.36,34,34
prefetch_layers,orig,ALL,layers_35,35,3,6.26,6.26,6.41,35,35
prefetch_layers,orig,ALL,layers_36,36,3,6.72,6.58,6.94,36,36
prefetch_layers,orig,ALL,layers_37,37,3,6.76,6.33,6.78,37,37
prefetch_layers,orig,ALL,layers_38,38,3,6.85,6.73,6.94,38,38
prefetch_layers,orig,ALL,layers_39,39,3,6.89,6.73,7.07,39,39
prefetch_layers,orig,ALL,layers_4,4,3,1.73,1.54,1.76,4,4
prefetch_layers,orig,ALL,layers_40,40,3,7.17,6.47,7.43,40,40
prefetch_layers,orig,ALL,layers_41,41,3,7.33,6.55,8.63,41,41
prefetch_layers,orig,ALL,layers_42,42,3,7.55,7.22,7.67,42,42
prefetch_layers,orig,ALL,layers_43,43,3,7.26,7.02,7.47,43,43
prefetch_layers,orig,ALL,layers_44,44,3,7.55,7.20,8.21,44,44
prefetch_layers,orig,ALL,layers_45,45,3,7.89,7.75,8.12,45,45
prefetch_layers,orig,ALL,layers_46,46,3,7.75,7.75,8.50,46,46
prefetch_layers,orig,ALL,layers_47,47,3,8.11,7.61,8.25,47,47
prefetch_layers,orig,ALL,layers_48,48,3,8.50,8.09,8.51,48,48
prefetch_layers,orig,ALL,layers_49,49,3,8.43,8.31,8.45,49,49
prefetch_layers,orig,ALL,layers_5,5,3,1.39,1.15,1.82,5,5
prefetch_layers,orig,ALL,layers_50,50,3,8.38,8.37,9.00,50,50
prefetch_layers,orig,ALL,layers_51,51,3,8.66,8.41,9.02,51,51
prefetch_layers,orig,ALL,layers_52,52,3,8.74,8.51,8.80,52,52
prefetch_layers,orig,ALL,layers_53,53,3,9.23,8.56,9.47,53,53
prefetch_layers,orig,ALL,layers_54,54,3,9.37,9.31,9.48,54,54
prefetch_layers,orig,ALL,layers_55,55,3,9.06,8.96,9.77,55,55
prefetch_layers,orig,ALL,layers_56,56,3,9.44,9.08,9.80,56,56
prefetch_layers,orig,ALL,layers_57,57,3,9.19,8.96,10.14,57,57
prefetch_layers,orig,ALL,layers_58,58,3,10.12,9.92,10.12,58,58
prefetch_layers,orig,ALL,layers_59,59,3,9.82,9.62,10.52,59,59
prefetch_layers,orig,ALL,layers_6,6,3,2.14,1.96,2.26,6,6
prefetch_layers,orig,ALL,layers_60,60,3,10.04,9.44,26.26,60,60
prefetch_layers,orig,ALL,layers_61,61,3,10.64,9.92,10.86,61,61
prefetch_layers,orig,ALL,layers_62,62,3,10.39,10.24,10.86,62,62
