workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,open_us_median,deliver_us_median,e2e_median,e2e_warm_median,cold_pct_max
A,1gb,2d,async,10,128,312.89,318.06,303.16,4.95,100.0,232.12,142.70,88.63,547.14,402.10,0.0
A,1gb,2d,pread,5,128,307.71,310.52,305.42,1.86,100.0,1410.29,171.05,1241.01,1718.60,1549.32,0.0
A,1gb,2e_K10,async,10,128,151.74,537.63,149.49,210.00,100.0,246.96,143.68,102.32,411.62,254.32,0.0
A,1gb,2e_K10,pread,5,128,150.82,151.59,149.16,0.88,100.0,1950.18,170.39,1787.34,2100.22,1938.27,0.0
A,1gb,2e_K500,async,10,128,151.94,155.35,150.13,1.74,100.0,975.21,141.06,820.06,1126.28,973.39,0.0
A,1gb,2e_K500,pread,5,128,150.34,153.54,150.20,1.61,100.0,12170.61,170.67,12000.45,12320.81,12150.79,0.0
A,1gb,2f_slru,async,10,128,99.47,101.92,98.08,1.43,100.0,7154.63,141.26,6999.34,7254.78,7099.49,0.0
A,1gb,2f_slru,pread,5,128,98.91,101.64,97.79,1.65,100.0,8330.66,170.59,8159.77,8428.54,8257.65,0.0
A,1gb,baseline,baseline,10,128,712.62,1249.99,704.64,290.87,0.0,0.00,0.00,0.00,712.62,712.62,0.0
A,1gb,layers_5,async,10,128,642.62,656.85,636.52,7.06,100.0,211.37,141.91,68.99,866.41,711.97,0.0
A,1gb,layers_5,pread,5,128,653.00,658.91,645.61,5.03,100.0,507.70,169.45,339.61,1158.47,989.12,0.0
A,1gb,layers_92,async,10,128,477.46,491.39,473.28,6.35,100.0,352.07,142.62,203.00,832.83,685.74,0.0
A,1gb,layers_92,pread,5,128,476.97,483.60,473.58,4.06,100.0,5247.00,171.93,5078.95,5731.34,5559.59,0.0
B,1gb,2d,async,10,128,310.28,319.15,304.86,5.36,100.0,228.55,141.24,87.42,546.46,399.92,0.0
B,1gb,2d,pread,5,128,306.02,329.90,300.87,12.50,100.0,1395.15,168.87,1239.58,1704.32,1544.47,0.0
B,1gb,2e_K10,async,10,128,307.66,320.36,302.02,6.36,100.0,239.32,141.26,98.60,552.70,407.36,0.0
B,1gb,2e_K10,pread,5,128,308.78,314.35,304.74,3.76,100.0,1942.83,170.01,1775.50,2248.81,2081.75,0.0
B,1gb,2e_K500,async,10,128,315.06,316.28,310.37,1.69,100.0,890.20,140.52,739.98,1205.35,1055.18,0.0
B,1gb,2e_K500,pread,5,128,427.25,430.50,424.00,2.54,100.0,8154.48,170.41,8014.10,8585.48,8445.10,0.0
B,1gb,2f_slru,async,10,128,99.76,101.01,96.89,1.26,100.0,7148.15,140.39,6996.90,7248.28,7095.57,0.0
B,1gb,2f_slru,pread,5,128,98.55,101.30,97.67,1.54,100.0,8350.67,168.85,8181.26,8452.09,8282.68,0.0
B,1gb,baseline,baseline,10,128,731.47,740.04,720.19,7.04,0.0,0.00,0.00,0.00,731.47,731.47,0.0
B,1gb,layers_5,async,10,128,649.15,660.92,638.28,8.26,100.0,212.85,141.64,69.04,867.53,718.24,0.0
B,1gb,layers_5,pread,5,128,644.77,662.37,644.35,8.53,100.0,513.78,170.81,341.36,1158.55,987.77,0.0
B,1gb,layers_92,async,10,128,475.54,491.11,461.23,9.54,100.0,338.97,141.68,197.62,818.02,671.22,0.0
B,1gb,layers_92,pread,5,128,476.48,479.54,473.28,2.27,100.0,5219.64,170.93,5060.61,5696.12,5538.73,0.0
C,1gb,2d,async,10,128,311.23,317.00,299.07,6.37,100.0,212.17,140.19,72.16,526.78,383.29,0.0
C,1gb,2d,pread,5,128,314.27,576.56,309.96,129.13,100.0,719.95,168.92,551.60,1030.41,861.56,0.0
C,1gb,2e_K10,async,10,128,145.59,148.88,135.75,3.86,100.0,225.45,139.77,86.31,373.44,233.02,0.0
C,1gb,2e_K10,pread,5,128,142.95,144.19,140.41,1.37,100.0,1250.57,168.38,1084.08,1390.98,1228.20,0.0
C,1gb,2e_K500,async,10,128,148.06,149.68,145.51,1.18,100.0,977.23,140.03,825.25,1125.39,972.34,0.0
C,1gb,2e_K500,pread,5,128,144.14,145.52,143.19,0.91,100.0,2504.82,168.26,2340.53,2648.01,2484.67,0.0
C,1gb,2f_slru,async,10,128,93.70,100.03,90.75,3.23,100.0,1717.99,140.51,1565.07,1812.28,1659.08,0.0
C,1gb,2f_slru,pread,5,128,93.41,95.02,89.45,2.36,100.0,3026.28,169.03,2855.90,3121.37,2950.99,0.0
C,1gb,baseline,baseline,10,128,711.83,718.54,708.46,3.43,0.0,0.00,0.00,0.00,711.83,711.83,0.0
C,1gb,layers_5,async,10,128,644.45,648.03,635.21,4.80,100.0,211.06,142.60,67.82,856.18,712.62,0.0
C,1gb,layers_5,pread,5,128,636.58,654.21,624.77,10.69,100.0,505.60,169.40,336.20,1142.18,972.78,0.0
C,1gb,layers_92,async,10,128,482.01,499.76,458.05,13.36,100.0,347.44,140.53,204.71,835.12,689.30,0.0
C,1gb,layers_92,pread,5,128,486.11,490.33,472.32,7.07,100.0,5246.22,169.22,5082.49,5734.47,5568.60,0.0
