tool,db_layout,workload,strategy,N_or_K,rep,prefetch_time_us,n_prefetch,n_syscalls
prefetch_layers,orig,ALL,layers_32,32,3,6.23,32,32
prefetch_layers,orig,ALL,layers_33,33,1,5.83,33,33
prefetch_layers,orig,ALL,layers_33,33,2,6.27,33,33
prefetch_layers,orig,ALL,layers_33,33,3,5.62,33,33
prefetch_layers,orig,ALL,layers_34,34,1,6.05,34,34
prefetch_layers,orig,ALL,layers_34,34,2,6.23,34,34
prefetch_layers,orig,ALL,layers_34,34,3,6.36,34,34
prefetch_layers,orig,ALL,layers_35,35,1,6.41,35,35
prefetch_layers,orig,ALL,layers_35,35,2,6.26,35,35
prefetch_layers,orig,ALL,layers_35,35,3,6.26,35,35
prefetch_layers,orig,ALL,layers_36,36,1,6.94,36,36
prefetch_layers,orig,ALL,layers_36,36,2,6.72,36,36
prefetch_layers,orig,ALL,layers_36,36,3,6.58,36,36
prefetch_layers,orig,ALL,layers_37,37,1,6.76,37,37
prefetch_layers,orig,ALL,layers_37,37,2,6.78,37,37
prefetch_layers,orig,ALL,layers_37,37,3,6.33,37,37
prefetch_layers,orig,ALL,layers_38,38,1,6.73,38,38
prefetch_layers,orig,ALL,layers_38,38,2,6.85,38,38
prefetch_layers,orig,ALL,layers_38,38,3,6.94,38,38
prefetch_layers,orig,ALL,layers_39,39,1,6.89,39,39
prefetch_layers,orig,ALL,layers_39,39,2,7.07,39,39
prefetch_layers,orig,ALL,layers_39,39,3,6.73,39,39
prefetch_layers,orig,ALL,layers_40,40,1,7.43,40,40
prefetch_layers,orig,ALL,layers_40,40,2,6.47,40,40
prefetch_layers,orig,ALL,layers_40,40,3,7.17,40,40
prefetch_layers,orig,ALL,layers_41,41,1,7.33,41,41
prefetch_layers,orig,ALL,layers_41,41,2,8.63,41,41
prefetch_layers,orig,ALL,layers_41,41,3,6.55,41,41
prefetch_layers,orig,ALL,layers_42,42,1,7.67,42,42
prefetch_layers,orig,ALL,layers_42,42,2,7.55,42,42
prefetch_layers,orig,ALL,layers_42,42,3,7.22,42,42
prefetch_layers,orig,ALL,layers_43,43,1,7.47,43,43
prefetch_layers,orig,ALL,layers_43,43,2,7.02,43,43
prefetch_layers,orig,ALL,layers_43,43,3,7.26,43,43
prefetch_layers,orig,ALL,layers_44,44,1,7.2,44,44
prefetch_layers,orig,ALL,layers_44,44,2,7.55,44,44
prefetch_layers,orig,ALL,layers_44,44,3,8.21,44,44
prefetch_layers,orig,ALL,layers_45,45,1,7.89,45,45
prefetch_layers,orig,ALL,layers_45,45,2,8.12,45,45
prefetch_layers,orig,ALL,layers_45,45,3,7.75,45,45
prefetch_layers,orig,ALL,layers_46,46,1,8.5,46,46
prefetch_layers,orig,ALL,layers_46,46,2,7.75,46,46
prefetch_layers,orig,ALL,layers_46,46,3,7.75,46,46
prefetch_layers,orig,ALL,layers_47,47,1,8.11,47,47
prefetch_layers,orig,ALL,layers_47,47,2,8.25,47,47
prefetch_layers,orig,ALL,layers_47,47,3,7.61,47,47
prefetch_layers,orig,ALL,layers_48,48,1,8.09,48,48
prefetch_layers,orig,ALL,layers_48,48,2,8.51,48,48
prefetch_layers,orig,ALL,layers_48,48,3,8.5,48,48
prefetch_layers,orig,ALL,layers_49,49,1,8.31,49,49
prefetch_layers,orig,ALL,layers_49,49,2,8.43,49,49
prefetch_layers,orig,ALL,layers_49,49,3,8.45,49,49
prefetch_layers,orig,ALL,layers_50,50,1,9.0,50,50
prefetch_layers,orig,ALL,layers_50,50,2,8.38,50,50
prefetch_layers,orig,ALL,layers_50,50,3,8.37,50,50
prefetch_layers,orig,ALL,layers_51,51,1,8.41,51,51
prefetch_layers,orig,ALL,layers_51,51,2,9.02,51,51
prefetch_layers,orig,ALL,layers_51,51,3,8.66,51,51
prefetch_layers,orig,ALL,layers_52,52,1,8.74,52,52
prefetch_layers,orig,ALL,layers_52,52,2,8.51,52,52
prefetch_layers,orig,ALL,layers_52,52,3,8.8,52,52
prefetch_layers,orig,ALL,layers_53,53,1,9.23,53,53
prefetch_layers,orig,ALL,layers_53,53,2,8.56,53,53
prefetch_layers,orig,ALL,layers_53,53,3,9.47,53,53
prefetch_layers,orig,ALL,layers_54,54,1,9.48,54,54
prefetch_layers,orig,ALL,layers_54,54,2,9.31,54,54
prefetch_layers,orig,ALL,layers_54,54,3,9.37,54,54
prefetch_layers,orig,ALL,layers_55,55,1,8.96,55,55
prefetch_layers,orig,ALL,layers_55,55,2,9.06,55,55
prefetch_layers,orig,ALL,layers_55,55,3,9.77,55,55
prefetch_layers,orig,ALL,layers_56,56,1,9.44,56,56
prefetch_layers,orig,ALL,layers_56,56,2,9.8,56,56
prefetch_layers,orig,ALL,layers_56,56,3,9.08,56,56
prefetch_layers,orig,ALL,layers_57,57,1,9.19,57,57
prefetch_layers,orig,ALL,layers_57,57,2,10.14,57,57
prefetch_layers,orig,ALL,layers_57,57,3,8.96,57,57
prefetch_layers,orig,ALL,layers_58,58,1,9.92,58,58
prefetch_layers,orig,ALL,layers_58,58,2,10.12,58,58
prefetch_layers,orig,ALL,layers_58,58,3,10.12,58,58
prefetch_layers,orig,ALL,layers_59,59,1,9.62,59,59
prefetch_layers,orig,ALL,layers_59,59,2,10.52,59,59
prefetch_layers,orig,ALL,layers_59,59,3,9.82,59,59
prefetch_layers,orig,ALL,layers_60,60,1,26.26,60,60
prefetch_layers,orig,ALL,layers_60,60,2,10.04,60,60
prefetch_layers,orig,ALL,layers_60,60,3,9.44,60,60
prefetch_layers,orig,ALL,layers_61,61,1,10.64,61,61
prefetch_layers,orig,ALL,layers_61,61,2,10.86,61,61
prefetch_layers,orig,ALL,layers_61,61,3,9.92,61,61
prefetch_layers,orig,ALL,layers_62,62,1,10.39,62,62
prefetch_layers,orig,ALL,layers_62,62,2,10.24,62,62
prefetch_layers,orig,ALL,layers_62,62,3,10.86,62,62
prefetch_layers,orig,ALL,layers_63,63,1,10.99,63,63
