workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,open_us_median,deliver_us_median,e2e_median,e2e_warm_median,cold_pct_max
A,1gb,2d,async,10,128,316.75,319.57,311.43,2.49,100.0,234.67,145.53,88.89,552.47,404.90,0.0
A,1gb,2d,pread,5,128,313.58,316.93,310.20,2.40,100.0,1387.66,143.70,1244.70,1700.94,1557.98,0.0
A,1gb,2e_K10,async,10,128,313.38,316.73,310.02,2.06,100.0,244.46,145.03,99.81,558.70,414.72,0.0
A,1gb,2e_K10,pread,5,128,319.20,322.78,309.23,5.11,100.0,1966.70,143.72,1822.98,2282.22,2140.11,0.0
A,1gb,2e_K500,async,10,128,318.34,321.71,309.97,3.62,100.0,882.98,144.35,737.54,1201.84,1056.40,0.0
A,1gb,2e_K500,pread,5,128,315.70,428.63,308.92,56.44,100.0,15907.44,143.73,15763.71,16332.97,16189.24,0.0
A,1gb,2f_slru,async,10,128,99.26,102.15,96.35,1.88,100.0,7074.49,143.12,6930.89,7173.74,7030.14,0.0
A,1gb,2f_slru,pread,5,128,98.02,104.60,97.08,3.27,100.0,8231.31,144.52,8085.37,8337.15,8191.21,0.0
A,1gb,baseline,baseline,10,128,701.31,715.83,691.71,8.71,0.0,0.00,0.00,0.00,701.31,701.31,0.0
A,1gb,layers_5,async,10,128,482.30,492.76,473.92,6.10,100.0,212.12,143.39,68.78,693.25,550.86,0.0
A,1gb,layers_5,pread,5,128,484.21,485.48,475.43,3.70,100.0,487.08,145.18,341.90,970.60,826.29,0.0
A,1gb,layers_92,async,10,128,482.90,1053.98,476.82,309.87,100.0,348.66,144.22,204.80,832.18,688.74,0.0
A,1gb,layers_92,pread,5,128,479.06,484.03,469.81,5.15,100.0,5209.44,143.74,5065.05,5687.54,5543.80,0.0
B,1gb,2d,async,10,128,317.40,321.77,311.84,3.49,100.0,234.02,145.33,88.88,552.57,407.23,0.0
B,1gb,2d,pread,5,128,313.56,343.50,309.76,15.39,100.0,1389.21,146.49,1241.87,1706.92,1561.77,0.0
B,1gb,2e_K10,async,10,128,313.89,320.12,309.47,3.60,100.0,244.82,143.84,100.33,557.54,414.10,0.0
B,1gb,2e_K10,pread,5,128,318.20,319.97,313.36,2.48,100.0,1943.02,144.00,1800.24,2261.22,2116.82,0.0
B,1gb,2e_K500,async,10,128,295.13,814.18,292.49,281.64,100.0,950.15,143.74,806.17,1243.76,1100.27,0.0
B,1gb,2e_K500,pread,5,128,286.24,288.82,271.67,6.96,100.0,12375.13,145.47,12230.77,12651.29,12506.93,0.0
B,1gb,2f_slru,async,10,128,100.13,3867.99,93.33,1971.29,100.0,7117.41,143.47,6975.11,7311.87,7169.17,0.0
B,1gb,2f_slru,pread,5,128,98.89,103.54,98.18,2.36,100.0,8265.11,144.91,8128.26,8363.29,8226.44,0.0
B,1gb,baseline,baseline,10,128,725.45,1052.94,713.64,171.09,0.0,0.00,0.00,0.00,725.45,725.45,0.0
B,1gb,layers_5,async,10,128,484.87,493.91,472.04,6.35,100.0,215.44,145.89,69.23,700.21,554.22,0.0
B,1gb,layers_5,pread,5,128,476.50,495.88,462.68,12.75,100.0,485.20,146.25,338.55,961.70,815.05,0.0
B,1gb,layers_92,async,10,128,483.75,549.36,473.70,33.61,100.0,354.45,145.27,206.03,838.62,687.38,0.0
B,1gb,layers_92,pread,5,128,482.75,484.84,470.30,6.01,100.0,5208.99,141.89,5063.71,5688.35,5546.46,0.0
C,1gb,2d,async,10,128,308.38,312.65,303.81,2.97,100.0,213.66,142.69,70.89,521.34,378.66,0.0
C,1gb,2d,pread,5,128,308.32,954.96,304.05,323.92,100.0,688.90,141.16,547.75,999.12,857.64,0.0
C,1gb,2e_K10,async,10,128,142.53,148.68,140.51,3.11,100.0,226.87,142.54,84.38,369.24,227.19,0.0
C,1gb,2e_K10,pread,5,128,143.45,160.84,141.46,8.47,100.0,1237.19,142.77,1093.86,1380.59,1237.21,0.0
C,1gb,2e_K500,async,10,128,143.83,145.24,142.18,1.03,100.0,978.89,140.80,836.63,1123.34,981.08,0.0
C,1gb,2e_K500,pread,5,128,144.09,147.26,140.21,2.47,100.0,2448.04,142.85,2303.91,2592.13,2448.00,0.0
C,1gb,2f_slru,async,10,128,89.53,107.23,87.31,8.04,100.0,1737.39,141.77,1595.24,1832.92,1691.74,0.0
C,1gb,2f_slru,pread,5,128,89.11,92.14,87.83,1.75,100.0,3072.80,142.22,2930.86,3164.03,3022.09,0.0
C,1gb,baseline,baseline,10,128,709.20,726.74,696.17,10.34,0.0,0.00,0.00,0.00,709.20,709.20,0.0
C,1gb,layers_5,async,10,128,640.19,649.44,625.03,8.42,100.0,212.47,144.42,68.08,858.12,708.83,0.0
C,1gb,layers_5,pread,5,128,640.50,653.73,625.50,11.13,100.0,483.45,145.45,337.05,1119.45,975.50,0.0
C,1gb,layers_92,async,10,128,480.40,489.65,475.91,4.94,100.0,347.00,143.45,203.38,828.64,685.47,0.0
C,1gb,layers_92,pread,5,128,487.22,494.50,468.79,9.07,100.0,5238.09,140.48,5098.81,5725.31,5585.37,0.0
