workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,e2e_us,avg_us,majflt,minflt,load,memavail_kb
B,orig,layers_5,pread,128,1,1,0.00,100.00,372.52,586.54,959.06,2.30,181.00,273.00,1.21,54682192
B,orig,layers_5,async,128,1,1,0.00,100.00,391.92,200.46,592.38,2.28,182.00,272.00,1.27,54682608
B,orig,layers_92,pread,128,1,1,0.00,100.00,379.74,8186.97,8566.71,2.34,180.00,280.00,1.27,54687304
B,orig,layers_92,async,128,1,1,0.00,100.00,387.66,351.90,739.56,2.27,181.00,278.00,1.27,54687552
B,orig,2d,pread,128,1,1,0.00,100.00,375.86,1783.10,2158.96,2.27,180.00,280.00,1.27,54687884
B,orig,2d,async,128,1,1,0.00,100.00,386.05,236.51,622.56,2.37,181.00,278.00,1.27,54695192
B,orig,2e_K10,pread,128,1,1,0.00,100.00,389.96,2803.93,3193.89,2.30,180.00,283.00,1.27,54695800
B,orig,2e_K10,async,128,1,1,0.00,100.00,383.18,743.91,1127.09,2.30,181.00,280.00,1.27,54696064
B,orig,2e_K500,pread,128,1,1,0.00,100.00,415.85,18219.06,18634.91,2.18,168.00,387.00,1.27,54701196
B,orig,2e_K500,async,128,1,1,0.00,100.00,429.61,1087.56,1517.17,2.25,186.00,325.00,1.27,54701784
B,orig,2f_slru,pread,128,1,1,0.00,100.00,105.43,27325.29,27430.72,1.68,0.00,278.00,1.27,54701168
B,orig,2f_slru,async,128,1,1,0.00,100.00,104.76,7466.79,7571.55,1.71,0.00,278.00,1.27,54701236
B,vacuum,layers_5,pread,128,1,1,0.00,100.00,510.76,828.06,1338.82,2.17,142.00,238.00,1.27,54704844
B,vacuum,layers_5,async,128,1,1,0.00,100.00,506.72,310.09,816.81,2.18,143.00,235.00,1.27,54705428
B,vacuum,layers_92,pread,128,1,1,0.00,100.00,523.84,7774.98,8298.82,2.15,144.00,238.00,1.27,54704952
B,vacuum,layers_92,async,128,1,1,0.00,100.00,517.56,712.71,1230.27,2.31,145.00,235.00,1.27,54707768
B,vacuum,2d,pread,128,1,1,0.00,100.00,507.97,1397.65,1905.62,2.13,144.00,238.00,1.33,54708660
B,vacuum,2d,async,128,1,1,0.00,100.00,509.70,310.70,820.40,2.23,145.00,235.00,1.33,54708316
