workload,strategy,n_reps,first_q_us_med,avg_us_med,prefetch_us_med,n_prefetch
A,baseline,3,321.39,4.06,0.00,0
A,layers5,3,126.53,4.03,11.45,5
A,slru,3,14.98,2.41,7595.72,4043
B,baseline,3,303.83,4.03,0.00,0
B,layers5,3,132.49,4.03,17.39,5
B,slru,3,16.05,2.45,7497.38,4107
C,baseline,3,248.55,2.53,0.00,0
C,layers5,3,139.98,2.52,18.12,5
C,slru,3,13.28,2.35,1844.57,417
