workload,db,strategy,arm,metric,n_seeds,mean_pct,median_pct,ci_lo,ci_hi,min_pct,max_pct,sign_consistency,verdict,per_seed
A,orig,2f_slru,pread,e2e_warm_us,10,2054.37,1914.36,1846.57,2372.44,1624.33,3373.79,10/10,robust,01=3373.8;02=1986.6;03=1911.2;04=1624.3;05=1793.2;06=1904.1;07=2024.7;08=1917.5;09=2097.6;10=1910.8
A,orig,2f_slru,pread,first_query_us,10,-84.95,-85.97,-86.47,-82.67,-87.76,-75.53,10/10,robust,01=-75.5;02=-85.4;03=-86.1;04=-87.8;05=-87.1;06=-86.2;07=-84.6;08=-85.8;09=-84.7;10=-86.3
A,orig,layers_5,async,e2e_us,10,18.9,28.69,7.76,28.53,-10.68,33.9,7/10,robust,01=28.9;02=-5.8;03=30.5;04=23.7;05=28.5;06=30.7;07=33.9;08=-2.7;09=-10.7;10=32.1
A,orig,layers_5,async,e2e_warm_us,10,-5.12,5.35,-15.94,4.42,-32.54,11.01,6/10,tie,01=-7.8;02=-28.2;03=6.7;04=5.2;05=5.5;06=6.8;07=9.4;08=-27.3;09=-32.5;10=11.0
A,orig,layers_5,async,first_query_us,10,-13.23,-1.53,-24.37,-3.26,-40.57,3.55,8/10,robust,01=-20.9;02=-36.2;03=-0.6;04=-1.4;05=-1.6;06=-0.8;07=1.2;08=-34.9;09=-40.6;10=3.5
A,orig,layers_5,pread,e2e_us,10,57.97,61.83,47.77,67.14,31.09,74.96,10/10,robust,01=61.4;02=37.5;03=72.9;04=62.2;05=60.4;06=72.7;07=75.0;08=37.6;09=31.1;10=69.0
A,orig,layers_5,pread,e2e_warm_us,10,33.27,39.23,23.16,42.58,9.55,51.12,10/10,robust,01=24.1;02=13.9;03=47.5;04=41.2;05=37.3;06=46.5;07=51.1;08=13.3;09=9.5;10=48.1
A,orig,layers_5,pread,first_query_us,10,-18.48,-4.32,-32.52,-5.58,-61.06,0.77,9/10,robust,01=-61.1;02=-36.6;03=-0.0;04=-1.2;05=-7.4;06=-1.1;07=-1.0;08=-35.0;09=-42.1;10=0.8
A,orig,layers_92,async,e2e_us,10,11.96,8.76,4.64,22.12,-1.9,52.66,9/10,robust,01=52.7;02=10.1;03=1.2;04=-1.9;05=4.9;06=1.8;07=14.1;08=11.5;09=7.5;10=17.8
A,orig,layers_92,async,e2e_warm_us,10,-12.5,-13.8,-18.05,-5.7,-22.57,12.51,9/10,robust,01=12.5;02=-13.0;03=-22.4;04=-20.7;05=-18.3;06=-22.6;07=-9.4;08=-12.9;09=-14.6;10=-3.6
A,orig,layers_92,async,first_query_us,10,-35.62,-36.23,-39.58,-31.36,-45.18,-24.23,10/10,robust,01=-25.3;02=-35.7;03=-45.2;04=-39.9;05=-38.4;06=-43.9;07=-32.7;08=-34.1;09=-36.8;10=-24.2
A,orig,layers_92,pread,e2e_us,10,927.43,861.33,831.93,1071.91,746.78,1527.76,10/10,robust,01=1527.8;02=917.9;03=844.0;04=746.8;05=794.0;06=852.9;07=946.5;08=865.1;09=921.8;10=857.5
