workload,db,strategy,arm,metric,n_seeds,mean_pct,median_pct,ci_lo,ci_hi,min_pct,max_pct,sign_consistency,verdict,per_seed
A,1gb,2f_slru,async,e2e_us,10,953.14,924.68,917.72,1016.59,901.87,1229.83,10/10,robust,seed01=1229.8;seed02=922.9;seed03=933.3;seed04=901.9;seed05=918.0;seed06=911.3;seed07=934.7;seed08=924.3;seed09=930.0;seed10=925.1
A,1gb,2f_slru,async,e2e_warm_us,10,929.67,901.72,894.48,992.56,878.41,1203.7,10/10,robust,seed01=1203.7;seed02=902.4;seed03=906.7;seed04=878.4;seed05=896.2;seed06=887.4;seed07=910.7;seed08=899.9;seed09=910.2;seed10=901.0
A,1gb,2f_slru,async,first_query_us,10,-85.62,-86.04,-86.08,-84.78,-86.19,-81.9,10/10,robust,seed01=-81.9;seed02=-85.8;seed03=-86.1;seed04=-86.1;seed05=-86.0;seed06=-86.2;seed07=-86.0;seed08=-86.0;seed09=-85.9;seed10=-86.1
A,1gb,2f_slru,pread,e2e_us,10,1118.98,1085.78,1079.12,1191.72,1064.63,1438.45,10/10,robust,seed01=1438.4;seed02=1088.8;seed03=1096.8;seed04=1064.6;seed05=1082.7;seed06=1079.8;seed07=1074.4;seed08=1089.9;seed09=1092.2;seed10=1082.0
A,1gb,2f_slru,pread,e2e_warm_us,10,1095.41,1062.23,1055.69,1167.8,1041.35,1413.17,10/10,robust,seed01=1413.2;seed02=1068.0;seed03=1070.3;seed04=1041.4;seed05=1058.8;seed06=1055.7;seed07=1050.4;seed08=1065.7;seed09=1072.5;seed10=1058.3
A,1gb,2f_slru,pread,first_query_us,10,-85.82,-86.17,-86.31,-84.95,-86.42,-82.02,10/10,robust,seed01=-82.0;seed02=-86.0;seed03=-86.4;seed04=-86.2;seed05=-86.1;seed06=-86.4;seed07=-86.4;seed08=-86.2;seed09=-86.1;seed10=-86.4
A,1gb,layers_5,async,e2e_us,10,16.69,22.39,9.08,23.4,-2.19,30.23,8/10,robust,seed01=30.2;seed02=-1.1;seed03=23.2;seed04=19.4;seed05=21.6;seed06=23.7;seed07=25.0;seed08=2.3;seed09=-2.2;seed10=24.7
A,1gb,layers_5,async,e2e_warm_us,10,-6.62,-0.36,-13.2,-0.55,-22.04,1.11,7/10,robust,seed01=-2.2;seed02=-21.5;seed03=0.5;seed04=-0.4;seed05=-0.1;seed06=-0.3;seed07=1.1;seed08=-22.0;seed09=-22.0;seed10=0.7
A,1gb,layers_5,async,first_query_us,10,-16.65,-10.0,-23.27,-11.1,-32.05,-8.53,10/10,robust,seed01=-15.0;seed02=-31.2;seed03=-8.9;seed04=-9.9;seed05=-9.8;seed06=-10.1;seed07=-8.5;seed08=-32.1;seed09=-31.9;seed10=-9.0
A,1gb,layers_5,pread,e2e_us,10,53.21,58.01,46.27,59.3,34.67,62.96,10/10,robust,seed01=52.5;seed02=38.4;seed03=60.0;seed04=56.0;seed05=62.6;seed06=62.2;seed07=62.4;seed08=40.4;seed09=34.7;seed10=63.0
