workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,open_us_median,deliver_us_median,e2e_median,e2e_warm_median,cold_pct_max
A,orig,2d,async,10,128,388.45,433.82,357.45,23.61,100.0,280.45,195.11,85.27,671.27,474.75,0.0
A,orig,2d,pread,5,128,210.65,218.03,208.41,3.99,100.0,1897.66,195.59,1699.44,2108.29,1911.07,0.0
A,orig,2e_K10,async,10,128,389.81,426.95,359.70,18.97,100.0,292.92,194.50,98.62,686.01,491.48,0.0
A,orig,2e_K10,pread,5,128,210.31,565.06,208.36,177.27,100.0,2679.66,194.92,2486.41,2889.51,2694.77,0.0
A,orig,2e_K500,async,10,128,211.96,482.95,208.63,147.21,100.0,1031.49,195.41,828.92,1244.26,1040.23,0.0
A,orig,2e_K500,pread,5,128,213.16,215.79,210.62,1.83,100.0,21158.94,195.42,20963.53,21372.10,21176.69,0.0
A,orig,2f_slru,async,10,128,127.43,190.53,125.94,33.83,100.0,7178.38,195.69,6968.53,7306.39,7096.53,0.0
A,orig,2f_slru,pread,5,128,127.02,129.28,123.94,1.95,100.0,18096.94,195.51,17901.06,18226.25,18030.37,0.0
A,orig,baseline,baseline,10,128,519.04,532.37,511.06,7.14,0.0,0.00,0.00,0.00,519.04,519.04,0.0
A,orig,layers_5,async,10,128,410.44,435.57,343.47,30.33,100.0,260.43,192.51,67.95,669.16,478.43,0.0
A,orig,layers_5,pread,5,128,202.09,241.97,200.07,19.30,100.0,635.15,193.15,437.30,837.91,644.22,0.0
A,orig,layers_92,async,10,128,387.54,437.71,382.72,22.67,100.0,385.89,193.99,191.70,792.37,583.99,0.0
A,orig,layers_92,pread,5,128,210.66,217.89,209.73,3.60,100.0,8231.85,196.53,8034.52,8448.73,8244.90,0.0
A,ta,2d,async,10,128,473.56,491.19,393.92,34.54,72.1,302.75,194.22,108.23,784.48,581.76,0.0
A,ta,2d,pread,5,128,219.04,220.78,217.12,1.28,100.0,1039.21,193.84,846.95,1259.90,1066.06,0.0
A,ta,2e_K10,async,10,128,417.63,421.41,400.04,5.83,77.4,315.05,194.05,121.42,733.16,539.54,0.0
A,ta,2e_K10,pread,5,128,221.79,235.33,217.42,7.39,100.0,2083.49,197.09,1885.00,2305.87,2112.26,0.0
A,ta,2e_K500,async,10,128,384.71,602.82,218.68,139.68,25.9,915.24,195.28,720.92,1319.31,1109.83,0.0
A,ta,2e_K500,pread,5,128,209.11,212.51,207.08,1.96,100.0,17706.83,194.71,17512.82,17913.91,17719.90,0.0
A,ta,2f_slru,async,10,128,126.69,379.61,121.94,137.41,100.0,7186.22,194.44,6916.53,7310.65,7115.82,0.0
A,ta,2f_slru,pread,5,128,125.72,128.13,123.02,1.82,100.0,17913.30,195.12,17718.20,18038.39,17843.29,0.0
A,ta,baseline,baseline,10,128,727.01,735.18,660.26,25.21,0.0,0.00,0.00,0.00,727.01,727.01,0.0
A,ta,layers_5,async,10,128,526.58,533.84,501.72,10.37,100.0,262.44,194.25,67.97,791.59,595.56,0.0
A,ta,layers_5,pread,5,128,505.20,505.55,504.10,0.51,100.0,441.23,195.12,246.95,946.86,751.79,0.0
A,ta,layers_92,async,10,128,458.81,480.99,454.76,11.00,100.0,359.56,194.78,165.01,820.21,625.28,0.0
A,ta,layers_92,pread,5,128,210.92,213.12,206.65,2.56,100.0,1051.34,195.03,848.06,1264.85,1055.09,0.0
A,vacuum,2d,async,10,128,575.25,581.75,570.92,3.68,100.0,270.74,193.67,77.54,847.09,652.93,0.0
A,vacuum,2d,pread,5,128,206.01,211.28,203.79,2.83,100.0,1371.09,193.29,1180.23,1577.10,1386.68,0.0
A,vacuum,2e_K10,async,10,128,574.77,579.25,572.11,2.47,100.0,285.38,194.69,90.74,860.06,665.47,0.0
A,vacuum,2e_K10,pread,5,128,208.76,218.39,206.12,5.30,100.0,2235.54,193.48,2017.41,2444.33,2238.10,0.0
A,vacuum,2e_K500,async,10,128,213.94,329.49,207.12,52.69,52.1,970.58,193.25,781.10,1246.87,1062.44,0.0
A,vacuum,2e_K500,pread,5,128,213.04,216.10,211.82,1.66,100.0,44776.63,196.44,44580.05,44990.58,44794.00,0.0
A,vacuum,2f_slru,async,10,128,127.81,277.25,123.83,81.21,100.0,5575.26,195.63,5380.43,5701.46,5507.18,0.0
A,vacuum,2f_slru,pread,5,128,125.17,126.83,124.06,1.04,100.0,14068.40,195.54,13873.65,14193.57,13998.82,0.0
