workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,e2e_median,cold_pct_max
B,ta,2e_K50,async,5,128,593.25,600.70,589.90,4.25,96.7,371.64,965.93,0.0
B,ta,2e_K50,pread,1,128,605.37,,605.37,0,100.0,5420.37,6025.74,0.0
B,ta,2e_K500,async,5,128,610.95,750.24,497.03,91.71,34.6,996.78,1615.36,0.0
B,ta,2e_K500,pread,1,128,526.50,,526.50,0,100.0,17586.44,18112.94,0.0
B,ta,2e_K92,async,5,128,593.11,609.43,591.56,8.38,70.5,427.80,1020.22,0.0
B,ta,2e_K92,pread,1,128,600.50,,600.50,0,100.0,11867.44,12467.94,0.0
B,vacuum,2d,async,5,128,509.46,526.02,477.86,16.66,100.0,267.87,774.24,0.0
B,vacuum,2d,pread,1,128,515.30,,515.30,0,100.0,1359.88,1875.18,0.0
B,vacuum,2e_K10,async,5,128,519.15,521.96,487.21,12.95,100.0,280.11,797.94,0.0
B,vacuum,2e_K10,pread,1,128,509.25,,509.25,0,100.0,2190.80,2700.05,0.0
B,vacuum,2e_K100,async,5,128,511.64,512.89,505.80,2.75,81.2,402.76,914.10,0.0
B,vacuum,2e_K100,pread,1,128,517.58,,517.58,0,100.0,10405.25,10922.83,0.0
B,vacuum,2e_K40,async,5,128,508.12,531.59,505.36,12.10,100.0,317.19,824.60,0.0
B,vacuum,2e_K40,pread,1,128,582.86,,582.86,0,100.0,4754.16,5337.02,0.0
B,vacuum,2e_K50,async,5,128,506.98,511.81,469.02,16.04,100.0,330.53,836.77,0.0
B,vacuum,2e_K50,pread,1,128,563.46,,563.46,0,100.0,5700.35,6263.81,0.0
B,vacuum,2e_K500,async,5,128,408.98,697.88,394.41,137.64,18.8,971.54,1388.71,0.0
B,vacuum,2e_K500,pread,1,128,465.62,,465.62,0,100.0,18968.26,19433.88,0.0
B,vacuum,2e_K92,async,5,128,517.26,571.19,506.10,26.44,79.8,400.26,924.49,0.0
B,vacuum,2e_K92,pread,1,128,518.74,,518.74,0,100.0,9625.02,10143.76,0.0
C,orig,2d,async,5,128,636.03,638.01,565.56,28.00,100.0,256.90,894.50,0.0
C,orig,2d,pread,1,128,633.53,,633.53,0,100.0,537.09,1170.62,0.0
C,orig,2e_K10,async,5,128,152.95,158.61,151.37,3.03,100.0,269.67,425.06,0.0
C,orig,2e_K10,pread,1,128,153.97,,153.97,0,100.0,1398.06,1552.03,0.0
C,orig,2e_K100,async,5,128,154.24,155.23,153.82,0.54,100.0,374.37,528.19,0.0
C,orig,2e_K100,pread,1,128,153.62,,153.62,0,100.0,9855.67,10009.29,0.0
