workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,open_us_median,deliver_us_median,e2e_median,e2e_warm_median,cold_pct_max
A,1gb,2d,async,10,128,310.05,318.86,307.83,4.03,100.0,229.91,140.55,88.81,541.26,400.14,0.0
A,1gb,2d,pread,5,128,311.26,311.37,305.17,2.44,100.0,1379.94,141.85,1237.34,1691.00,1548.40,0.0
A,1gb,2e_K10,async,10,128,329.54,332.39,325.26,2.02,100.0,244.56,141.52,102.19,575.12,432.31,0.0
A,1gb,2e_K10,pread,5,128,328.55,335.25,324.89,3.96,100.0,1879.36,141.00,1735.94,2209.64,2068.81,0.0
A,1gb,2e_K500,async,10,128,151.58,153.94,149.54,1.48,100.0,947.80,141.38,806.74,1099.95,959.37,0.0
A,1gb,2e_K500,pread,5,128,151.06,152.03,149.18,1.02,100.0,8528.44,140.74,8388.59,8679.50,8539.65,0.0
A,1gb,2f_slru,async,10,128,99.59,100.88,98.48,0.94,100.0,7177.27,140.50,7037.04,7277.49,7137.25,0.0
A,1gb,2f_slru,pread,5,128,98.17,100.90,96.95,1.49,100.0,8325.23,141.13,8185.94,8423.40,8284.11,0.0
A,1gb,baseline,baseline,10,128,706.55,1548.20,688.89,456.36,0.0,0.00,0.00,0.00,706.55,706.55,0.0
A,1gb,layers_5,async,10,128,481.27,493.07,472.53,6.99,100.0,209.35,140.52,68.66,691.09,551.24,0.0
A,1gb,layers_5,pread,5,128,473.96,477.47,472.38,1.95,100.0,477.17,138.69,338.05,951.52,812.27,0.0
A,1gb,layers_92,async,10,128,479.86,489.87,473.22,5.65,100.0,346.27,140.76,205.90,826.33,685.28,0.0
A,1gb,layers_92,pread,5,128,478.15,480.40,473.35,3.02,100.0,5208.89,140.76,5067.80,5686.72,5545.95,0.0
B,1gb,2d,async,10,128,313.58,318.45,309.22,3.04,100.0,227.87,139.58,88.00,542.07,402.33,0.0
B,1gb,2d,pread,5,128,313.91,315.70,307.60,2.86,100.0,1380.50,139.38,1241.12,1693.26,1553.88,0.0
B,1gb,2e_K10,async,10,128,313.14,316.29,306.56,2.98,100.0,239.54,140.03,98.82,552.80,412.58,0.0
B,1gb,2e_K10,pread,5,128,313.74,318.01,309.53,3.37,100.0,1912.15,139.61,1773.62,2222.41,2083.88,0.0
B,1gb,2e_K500,async,10,128,316.05,321.55,306.74,3.99,100.0,955.25,141.68,812.08,1270.39,1128.51,0.0
B,1gb,2e_K500,pread,5,128,312.75,426.67,298.56,57.83,100.0,8204.38,139.74,8064.25,8523.94,8384.19,0.0
B,1gb,2f_slru,async,10,128,98.81,100.35,96.50,1.18,100.0,7094.30,140.13,6953.38,7193.45,7052.52,0.0
B,1gb,2f_slru,pread,5,128,96.96,98.53,96.41,0.84,100.0,8294.33,139.67,8154.83,8391.79,8252.29,0.0
B,1gb,baseline,baseline,10,128,726.50,740.94,705.78,10.78,0.0,0.00,0.00,0.00,726.50,726.50,0.0
B,1gb,layers_5,async,10,128,650.43,658.82,640.41,6.23,100.0,208.76,140.07,68.60,857.06,719.37,0.0
B,1gb,layers_5,pread,5,128,650.90,669.45,641.57,10.50,100.0,476.50,140.26,337.11,1127.05,987.40,0.0
B,1gb,layers_92,async,10,128,480.77,489.59,472.74,5.43,100.0,341.66,140.24,202.84,825.11,682.27,0.0
B,1gb,layers_92,pread,5,128,480.45,484.20,479.44,1.90,100.0,5210.58,139.68,5067.00,5692.00,5551.71,0.0
C,1gb,2d,async,10,128,307.19,317.57,305.14,4.68,100.0,244.06,170.87,73.17,551.51,380.69,0.0
C,1gb,2d,pread,5,128,305.81,313.28,302.46,4.29,100.0,720.51,171.19,548.34,1026.32,854.15,0.0
C,1gb,2e_K10,async,10,128,144.87,149.66,141.95,2.68,100.0,256.75,170.80,86.55,402.56,231.03,0.0
C,1gb,2e_K10,pread,5,128,143.68,144.50,142.77,0.62,100.0,1259.76,171.26,1088.49,1402.53,1231.26,0.0
C,1gb,2e_K500,async,10,128,146.59,148.94,142.95,2.21,100.0,990.43,171.19,820.36,1134.84,964.75,0.0
C,1gb,2e_K500,pread,5,128,144.26,145.19,143.48,0.63,100.0,2504.09,170.52,2333.13,2649.33,2478.19,0.0
C,1gb,2f_slru,async,10,128,90.62,96.11,87.11,2.72,100.0,1877.36,171.63,1706.81,1966.89,1796.34,0.0
C,1gb,2f_slru,pread,5,128,90.24,92.18,88.61,1.36,100.0,3050.53,171.90,2879.71,3140.77,2969.95,0.0
C,1gb,baseline,baseline,10,128,726.26,745.26,713.23,10.84,0.0,0.00,0.00,0.00,726.26,726.26,0.0
C,1gb,layers_5,async,10,128,643.82,657.97,633.12,7.55,100.0,209.75,140.32,69.23,856.64,713.09,0.0
C,1gb,layers_5,pread,5,128,649.75,653.90,639.01,5.61,100.0,477.84,139.83,339.25,1128.41,989.00,0.0
C,1gb,layers_92,async,10,128,643.56,659.28,635.76,8.65,100.0,343.76,138.62,204.19,988.72,849.07,0.0
C,1gb,layers_92,pread,5,128,647.24,656.76,637.20,7.83,100.0,5198.34,138.62,5059.64,5848.19,5708.45,0.0
