workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,open_us_median,deliver_us_median,e2e_median,e2e_warm_median,cold_pct_max
A,1gb,2d,async,10,128,318.03,337.25,309.67,9.86,100.0,229.37,140.57,88.40,550.03,407.89,0.0
A,1gb,2d,pread,5,128,310.82,319.38,310.49,3.93,100.0,1382.63,140.06,1242.57,1695.90,1556.14,0.0
A,1gb,2e_K10,async,10,128,321.53,657.65,310.32,183.20,100.0,270.29,169.49,100.64,591.87,422.24,0.0
A,1gb,2e_K10,pread,5,128,308.64,319.23,306.58,5.56,100.0,1948.05,170.34,1777.53,2257.63,2087.29,0.0
A,1gb,2e_K500,async,10,128,316.00,320.54,310.12,3.28,100.0,977.39,170.13,805.65,1292.91,1122.41,0.0
A,1gb,2e_K500,pread,5,128,152.08,155.20,149.02,2.27,100.0,8747.63,170.51,8577.84,8902.09,8732.30,0.0
A,1gb,2f_slru,async,10,128,99.97,101.57,98.53,1.03,100.0,7124.80,169.59,6955.64,7225.09,7055.93,0.0
A,1gb,2f_slru,pread,5,128,99.74,101.38,97.54,1.59,100.0,8301.29,169.46,8133.45,8398.83,8230.99,0.0
A,1gb,baseline,baseline,10,128,721.16,1314.81,691.46,324.09,0.0,0.00,0.00,0.00,721.16,721.16,0.0
A,1gb,layers_5,async,10,128,649.43,671.95,636.17,12.98,100.0,209.49,141.25,68.59,861.31,717.98,0.0
A,1gb,layers_5,pread,5,128,647.07,662.54,634.13,10.27,100.0,478.57,139.94,338.51,1124.89,984.09,0.0
A,1gb,layers_92,async,10,128,487.72,501.31,470.31,9.73,100.0,345.20,141.08,204.12,836.08,692.78,0.0
A,1gb,layers_92,pread,5,128,474.39,497.37,467.60,11.82,100.0,5211.28,140.99,5070.30,5678.88,5537.90,0.0
B,1gb,2d,async,10,128,311.02,317.52,305.21,3.77,100.0,258.93,170.53,87.97,567.98,397.78,0.0
B,1gb,2d,pread,5,128,310.17,314.13,301.89,4.36,100.0,1413.48,170.12,1241.87,1724.84,1552.70,0.0
B,1gb,2e_K10,async,10,128,311.75,525.14,305.75,103.92,100.0,270.69,169.28,100.84,582.15,411.75,0.0
B,1gb,2e_K10,pread,5,128,312.74,316.31,310.47,2.39,100.0,1939.95,168.81,1771.26,2253.48,2084.79,0.0
B,1gb,2e_K500,async,10,128,152.15,234.18,148.36,44.67,100.0,921.48,169.90,751.26,1073.38,903.16,0.0
B,1gb,2e_K500,pread,5,128,151.53,153.38,149.04,1.55,100.0,8857.92,169.37,8688.56,9010.93,8841.57,0.0
B,1gb,2f_slru,async,10,128,99.59,100.67,97.49,1.00,100.0,7277.23,170.16,7105.93,7376.82,7205.52,0.0
B,1gb,2f_slru,pread,5,128,97.29,436.26,94.47,168.54,100.0,8357.89,168.60,8187.64,8455.07,8284.82,0.0
B,1gb,baseline,baseline,10,128,712.91,728.70,705.57,7.96,0.0,0.00,0.00,0.00,712.91,712.91,0.0
B,1gb,layers_5,async,10,128,643.16,648.80,635.35,4.74,100.0,238.91,169.64,70.00,882.37,712.34,0.0
B,1gb,layers_5,pread,5,128,637.67,651.20,632.25,8.06,100.0,512.02,170.69,340.45,1147.15,976.46,0.0
B,1gb,layers_92,async,10,128,478.27,502.07,466.88,12.08,100.0,378.18,171.16,208.01,855.01,684.61,0.0
B,1gb,layers_92,pread,5,128,476.18,484.18,474.11,4.13,100.0,5243.74,170.38,5075.36,5718.49,5550.11,0.0
C,1gb,2d,async,10,128,309.37,320.51,305.32,5.21,100.0,242.40,169.70,72.94,550.81,382.50,0.0
C,1gb,2d,pread,5,128,309.08,312.48,304.88,2.90,100.0,718.89,169.22,547.96,1028.41,859.19,0.0
C,1gb,2e_K10,async,10,128,147.31,161.89,144.52,6.77,100.0,253.62,168.34,85.23,403.30,233.58,0.0
C,1gb,2e_K10,pread,5,128,146.15,146.97,144.65,0.82,100.0,1259.68,169.25,1091.48,1406.74,1238.54,0.0
C,1gb,2e_K500,async,10,128,147.53,152.35,143.72,2.68,100.0,982.44,168.34,810.10,1131.09,958.12,0.0
C,1gb,2e_K500,pread,5,128,146.03,152.01,144.45,3.09,100.0,2655.35,170.58,2488.20,2801.81,2632.65,0.0
C,1gb,2f_slru,async,10,128,94.97,102.33,89.62,4.10,100.0,1841.12,169.04,1672.11,1935.52,1766.51,0.0
C,1gb,2f_slru,pread,5,128,93.29,96.40,86.78,3.67,100.0,3041.51,167.93,2873.74,3133.37,2965.45,0.0
C,1gb,baseline,baseline,10,128,729.14,737.40,710.18,9.69,0.0,0.00,0.00,0.00,729.14,729.14,0.0
C,1gb,layers_5,async,10,128,647.57,651.47,635.57,5.41,100.0,238.28,170.09,68.17,886.68,717.24,0.0
C,1gb,layers_5,pread,5,128,645.60,658.99,634.53,9.61,100.0,507.93,169.10,337.47,1150.76,981.66,0.0
C,1gb,layers_92,async,10,128,646.47,653.77,631.02,7.03,100.0,377.25,168.12,207.80,1021.33,851.41,0.0
C,1gb,layers_92,pread,5,128,639.03,652.77,628.28,8.71,100.0,5253.82,170.01,5083.90,5898.70,5728.50,0.0
